Date,GLD,IWM,QQQ,TLT
2010-01-04,109.80000305175781,51.63050079345703,40.39356231689453,56.98408508300781
2010-01-05,109.69999694824219,51.452972412109375,40.39356231689453,57.35210037231445
2010-01-06,111.51000213623047,51.4045524597168,40.14993667602539,56.584346771240234
2010-01-07,110.81999969482422,51.78383255004883,40.176025390625,56.67949676513672
2010-01-08,111.37000274658203,52.06625747680664,40.50669860839844,56.654151916503906
2010-01-11,112.8499984741211,51.85645294189453,40.34135818481445,56.34322738647461
2010-01-12,110.48999786376953,51.291568756103516,39.83665466308594,57.307655334472656
2010-01-13,111.54000091552734,51.95328140258789,40.33267593383789,56.64143753051758
2010-01-14,112.02999877929688,52.14697265625,40.36744689941406,57.43458557128906
2010-01-15,110.86000061035156,51.3884162902832,39.89757537841797,57.78989791870117
2010-01-19,111.5199966430664,52.33256530761719,40.5414924621582,57.624881744384766
2010-01-20,108.94000244140625,51.57400131225586,39.95848846435547,58.20862579345703
2010-01-21,107.37000274658203,50.726680755615234,39.584312438964844,58.475135803222656
2010-01-22,107.16999816894531,49.814796447753906,38.426971435546875,58.37363052368164
2010-01-25,107.4800033569336,49.87128448486328,38.55748748779297,58.10710906982422
2010-01-26,107.55999755859375,49.3790283203125,38.59230422973633,58.12620162963867
2010-01-27,106.52999877929688,49.90357208251953,38.89686584472656,58.094444274902344
2010-01-28,106.4800033569336,49.048160552978516,37.896175384521484,58.06272888183594
2010-01-29,105.95999908447266,48.507469177246094,37.234825134277344,58.570316314697266
2010-02-01,108.3499984741211,49.080448150634766,37.643821716308594,58.03866195678711
2010-02-02,109.12999725341797,49.62112045288086,37.983192443847656,58.20420837402344
2010-02-03,108.69999694824219,49.290260314941406,38.1920280456543,57.52924346923828
2010-02-04,104.37000274658203,47.6440315246582,37.08689880371094,58.43978500366211
2010-02-05,104.68000030517578,47.82963943481445,37.40017318725586,58.56715393066406
2010-02-08,104.04000091552734,47.3535041809082,37.13040542602539,58.64357376098633
2010-02-09,105.41000366210938,48.00716781616211,37.51329040527344,58.0577278137207
2010-02-10,105.12000274658203,48.120121002197266,37.43497085571289,57.50377655029297
2010-02-11,107.12999725341797,48.886775970458984,38.00057601928711,57.191734313964844
2010-02-12,107.04000091552734,49.24184036254883,38.07889175415039,57.42739486694336
2010-02-16,109.62000274658203,50.073028564453125,38.56621170043945,57.53562545776367
2010-02-17,109.25,50.41197204589844,38.78374481201172,56.87976837158203
2010-02-18,109.9800033569336,50.823524475097656,39.02739334106445,56.65054702758789
2010-02-19,109.47000122070312,50.888057708740234,39.00999069213867,56.956214904785156
2010-02-22,109.06999969482422,51.04141616821289,38.93168640136719,56.72058868408203
2010-02-23,107.88999938964844,50.444244384765625,38.426971435546875,57.605682373046875
2010-02-24,107.36000061035156,50.8719482421875,38.81855773925781,57.74574279785156
2010-02-25,108.30999755859375,50.888057708740234,38.80985641479492,58.070457458496094
2010-02-26,109.43000030517578,50.678260803222656,38.94908905029297,58.369728088378906
2010-03-01,109.43000030517578,51.85645294189453,39.51470184326172,58.344207763671875
2010-03-02,111.0199966430664,52.25186538696289,39.636505126953125,58.26755905151367
2010-03-03,111.62999725341797,52.55044174194336,39.68001937866211,58.120628356933594
2010-03-04,110.83000183105469,52.68764114379883,39.81055450439453,58.4272575378418
2010-03-05,110.80999755859375,53.76092529296875,40.41097640991211,57.660728454589844
2010-03-08,109.87999725341797,53.85775375366211,40.48928451538086,57.360538482666016
2010-03-09,109.72000122070312,54.05144119262695,40.71553039550781,57.3732795715332
2010-03-10,108.47000122070312,54.511409759521484,41.046199798583984,57.22638702392578
2010-03-11,108.5999984741211,54.672794342041016,41.20283508300781,57.437171936035156
2010-03-12,107.94999694824219,54.648590087890625,41.21152877807617,57.79486846923828
2010-03-15,108.36000061035156,54.46297836303711,41.10712432861328,57.71824264526367
2010-03-16,110.4000015258789,54.93105697631836,41.368167877197266,58.17814254760742
2010-03-17,109.58999633789062,55.25380325317383,41.48128128051758,58.4272575378418
2010-03-18,110.33999633789062,55.08436965942383,41.62052536010742,58.23557662963867
2010-03-19,108.27999877929688,54.39845275878906,41.36876678466797,58.29307174682617
2010-03-22,107.75,55.16506576538086,41.743350982666016,58.35694885253906
2010-03-23,108.31999969482422,55.867149353027344,42.03080749511719,58.08228302001953
2010-03-24,106.30000305175781,55.229671478271484,41.83045196533203,57.02196502685547
2010-03-25,106.77999877929688,54.88178253173828,41.76947021484375,56.657859802246094
2010-03-26,108.58999633789062,54.857505798339844,41.81302261352539,56.817569732666016
2010-03-29,108.75,55.15685272216797,42.013397216796875,56.60041046142578
2010-03-30,107.97000122070312,55.326744079589844,42.15275192260742,56.779266357421875
2010-03-31,108.94999694824219,54.84943771362305,41.9524040222168,57.16887283325195
2010-04-01,110.26000213623047,55.35911178588867,41.9524040222168,57.02913284301758
2010-04-05,110.88999938964844,56.39459991455078,42.34440994262695,56.08023452758789
2010-04-06,111.02999877929688,56.72628402709961,42.46635437011719,56.1700439453125
