Date,GLD,IWM,QQQ,SPY,TLT
2010-01-04,109.80000305175781,51.6304931640625,40.393577575683594,85.27922821044922,56.984092712402344
2010-01-05,109.69999694824219,51.452964782714844,40.393577575683594,85.50492858886719,57.35210418701172
2010-01-06,111.51000213623047,51.404544830322266,40.14991760253906,85.56512451171875,56.58433532714844
2010-01-07,110.81999969482422,51.783817291259766,40.176021575927734,85.92633819580078,56.67951965332031
2010-01-08,111.37000274658203,52.066253662109375,40.50669479370117,86.2122802734375,56.654178619384766
2010-01-11,112.8499984741211,51.85646438598633,40.34135055541992,86.33265686035156,56.34325408935547
2010-01-12,110.48999786376953,51.291568756103516,39.836639404296875,85.52752685546875,57.30769348144531
2010-01-13,111.54000091552734,51.95329284667969,40.33264923095703,86.24991607666016,56.64141845703125
2010-01-14,112.02999877929688,52.14695739746094,40.367454528808594,86.4831771850586,57.43452835083008
2010-01-15,110.86000061035156,51.388397216796875,39.8975715637207,85.51246643066406,57.789886474609375
2010-01-19,111.5199966430664,52.33256530761719,40.54149627685547,86.58099365234375,57.624908447265625
2010-01-20,108.94000244140625,51.574012756347656,39.95848083496094,85.70057678222656,58.20865249633789
2010-01-21,107.37000274658203,50.72667694091797,39.58431625366211,84.05264282226562,58.475154876708984
2010-01-22,107.16999816894531,49.81478500366211,38.426963806152344,82.17898559570312,58.37364196777344
2010-01-25,107.4800033569336,49.871280670166016,38.557491302490234,82.60035705566406,58.10712432861328
2010-01-26,107.55999755859375,49.379024505615234,38.59230422973633,82.25421142578125,58.126197814941406
2010-01-27,106.52999877929688,49.903560638427734,38.8968620300293,82.64551544189453,58.094444274902344
2010-01-28,106.4800033569336,49.04816436767578,37.89616012573242,81.69737243652344,58.06277084350586
2010-01-29,105.95999908447266,48.50748825073242,37.234825134277344,80.8094482421875,58.570335388183594
2010-02-01,108.3499984741211,49.080448150634766,37.64380645751953,82.06607055664062,58.03865051269531
2010-02-02,109.12999725341797,49.621116638183594,37.98317337036133,83.05936431884766,58.20420837402344
2010-02-03,108.69999694824219,49.2902717590332,38.192020416259766,82.64551544189453,57.52927780151367
2010-02-04,104.37000274658203,47.64402389526367,37.08689498901367,80.09456634521484,58.439823150634766
2010-02-05,104.68000030517578,47.82962417602539,37.40016174316406,80.2601318359375,58.567169189453125
2010-02-08,104.04000091552734,47.353511810302734,37.13040542602539,79.68070220947266,58.643516540527344
2010-02-09,105.41000366210938,48.007164001464844,37.513282775878906,80.6815185546875,58.05776596069336
2010-02-10,105.12000274658203,48.1201286315918,37.434967041015625,80.52349853515625,57.50375747680664
2010-02-11,107.12999725341797,48.88676834106445,38.000572204589844,81.36627960205078,57.191768646240234
2010-02-12,107.04000091552734,49.241851806640625,38.07890319824219,81.29855346679688,57.42735290527344
2010-02-16,109.62000274658203,50.07301712036133,38.566200256347656,82.57778930664062,57.535587310791016
2010-02-17,109.25,50.41196060180664,38.783748626708984,82.96908569335938,56.87977600097656
2010-02-18,109.9800033569336,50.823509216308594,39.02739334106445,83.45819854736328,56.65055465698242
2010-02-19,109.47000122070312,50.888084411621094,39.0099983215332,83.63125610351562,56.956199645996094
2010-02-22,109.06999969482422,51.041404724121094,38.931671142578125,83.64631652832031,56.720619201660156
2010-02-23,107.88999938964844,50.44422912597656,38.426963806152344,82.63045501708984,57.60563659667969
2010-02-24,107.36000061035156,50.8719482421875,38.81855392456055,83.39046478271484,57.745758056640625
2010-02-25,108.30999755859375,50.888084411621094,38.809844970703125,83.277587890625,58.0704345703125
2010-02-26,109.43000030517578,50.67826843261719,38.94907760620117,83.33026123046875,58.36975860595703
2010-03-01,109.43000030517578,51.85646438598633,39.51469802856445,84.19562530517578,58.344215393066406
2010-03-02,111.0199966430664,52.25186538696289,39.63650131225586,84.42889404296875,58.267547607421875
2010-03-03,111.62999725341797,52.55046463012695,39.68000793457031,84.50415802001953,58.12065505981445
2010-03-04,110.83000183105469,52.6876335144043,39.810546875,84.7599868774414,58.42719268798828
2010-03-05,110.80999755859375,53.76091003417969,40.41096878051758,85.97148895263672,57.66071319580078
2010-03-08,109.87999725341797,53.857757568359375,40.489280700683594,85.98651123046875,57.36049270629883
2010-03-09,109.72000122070312,54.05143737792969,40.71553421020508,86.1295166015625,57.3732795715332
2010-03-10,108.47000122070312,54.51139831542969,41.046207427978516,86.51329803466797,57.226375579833984
2010-03-11,108.5999984741211,54.67279815673828,41.20283508300781,86.87448120117188,57.43717575073242
2010-03-12,107.94999694824219,54.64859390258789,41.21153259277344,86.88200378417969,57.794883728027344
2010-03-15,108.36000061035156,54.46299362182617,41.10712814331055,86.90457916259766,57.718170166015625
2010-03-16,110.4000015258789,54.9310417175293,41.3681755065918,87.59685516357422,58.1781120300293
2010-03-17,109.58999633789062,55.25383377075195,41.48127746582031,88.1160659790039,58.42719268798828
2010-03-18,110.33999633789062,55.08436584472656,41.62053298950195,88.07090759277344,58.235626220703125
2010-03-19,108.27999877929688,54.39841842651367,41.3687744140625,87.62511444091797,58.293094635009766
2010-03-22,107.75,55.16505813598633,41.74332809448242,88.09358215332031,58.35700225830078
2010-03-23,108.31999969482422,55.86714172363281,42.03080368041992,88.71317291259766,58.08232116699219
2010-03-24,106.30000305175781,55.22963333129883,41.83043670654297,88.28250122070312,57.021915435791016
2010-03-25,106.77999877929688,54.88179397583008,41.76947784423828,88.138916015625,56.65788269042969
2010-03-26,108.58999633789062,54.857521057128906,41.81303787231445,88.0860824584961,56.81755447387695
2010-03-29,108.75,55.156856536865234,42.013389587402344,88.64517211914062,56.60035705566406
2010-03-30,107.97000122070312,55.32674789428711,42.15275573730469,88.70559692382812,56.77926254272461
2010-03-31,108.94999694824219,54.84943771362305,41.952392578125,88.40338897705078,57.168846130371094
2010-04-01,110.26000213623047,55.359092712402344,41.952392578125,89.00785064697266,57.029136657714844
2010-04-05,110.88999938964844,56.39458465576172,42.34439468383789,89.73321533203125,56.08020782470703
2010-04-06,111.02999877929688,56.72628402709961,42.466365814208984,89.94477081298828,56.16992950439453
2010-04-07,112.48999786376953,56.548301696777344,42.361839294433594,89.43097686767578,56.88808059692383
2010-04-08,112.6500015258789,56.49168395996094,42.457664489746094,89.74077606201172,56.913700103759766
2010-04-09,113.63999938964844,56.831443786621094,42.710262298583984,90.33011627197266,57.04836654663086
2010-04-12,113.01000213623047,57.06604766845703,42.745113372802734,90.47366333007812,57.349674224853516
2010-04-13,112.69000244140625,57.19549560546875,42.96288299560547,90.54165649414062,57.53561782836914
2010-04-14,113.02999877929688,58.41706466674805,43.4768180847168,91.56927490234375,57.13169479370117
2010-04-15,113.6500015258789,58.59503936767578,43.66847610473633,91.64485168457031,57.19581985473633
2010-04-16,111.23999786376953,57.810340881347656,43.14581298828125,90.18657684326172,57.612525939941406
2010-04-19,111.1500015258789,57.52715301513672,43.11970138549805,90.52655792236328,57.47151565551758
2010-04-20,111.45999908447266,58.311912536621094,43.337467193603516,91.33505249023438,57.67665481567383
2010-04-21,112.30999755859375,58.716373443603516,43.58137130737305,91.16883850097656,58.15113830566406
2010-04-22,111.83999633789062,59.33931350708008,43.825279235839844,91.44082641601562,57.977996826171875
2010-04-23,113.19000244140625,59.97031021118164,44.00821304321289,92.03773498535156,57.77284622192383
2010-04-26,112.75,59.743804931640625,43.91238784790039,91.69017791748047,57.836997985839844
2010-04-27,114.62999725341797,58.376617431640625,42.980308532714844,89.52165222167969,58.65116882324219
2010-04-28,114.30999755859375,58.473690032958984,43.00645065307617,90.2016830444336,58.15113830566406
2010-04-29,114.27999877929688,59.71147155761719,43.755592346191406,91.31995391845703,58.394718170166016
2010-04-30,115.36000061035156,57.96404266357422,42.893211364746094,89.77099609375,59.06796646118164
2010-05-03,115.7300033569336,59.266502380371094,43.4942741394043,90.93460845947266,58.990699768066406
2010-05-04,114.87000274658203,57.40583419799805,42.187599182128906,88.79630279541016,60.052303314208984
2010-05-05,115.08999633789062,56.564491271972656,41.96983337402344,88.2673568725586,60.40612030029297
2010-05-06,118.48999786376953,54.44493103027344,40.56735610961914,85.3357162475586,62.27191925048828
2010-05-07,118.2699966430664,52.875492095947266,39.55685043334961,84.06632232666016,61.493431091308594
2010-05-10,117.56999969482422,55.844482421875,41.6126594543457,87.7686996459961,60.21955490112305
2010-05-11,120.66000366210938,56.21661376953125,41.569122314453125,87.51936340332031,60.06515884399414
2010-05-12,121.4000015258789,57.939754486083984,42.353111267089844,88.74342346191406,59.608360290527344
2010-05-13,120.55999755859375,57.38157272338867,41.68236541748047,87.6402587890625,60.000816345214844
2010-05-14,120.37000274658203,56.27326965332031,40.88093948364258,86.05350494384766,61.04312515258789
2010-05-17,119.36000061035156,56.3784294128418,41.0116081237793,86.09884643554688,60.81791687011719
2010-05-18,119.48999786376953,55.29436492919922,40.445396423339844,84.92769622802734,61.75083541870117
2010-05-19,116.62999725341797,54.639076232910156,40.12308883666992,84.4441146850586,61.95669937133789
2010-05-20,115.83999633789062,51.872352600097656,38.63351058959961,81.25553894042969,63.26272964477539
2010-05-21,115.22000122070312,52.64090347290039,39.06033706665039,82.44183349609375,63.327022552490234
2010-05-24,116.83999633789062,51.93708038330078,38.903541564941406,81.38399505615234,63.108272552490234
2010-05-25,117.36000061035156,51.92897415161133,38.93839645385742,81.46711730957031,63.41714859008789
2010-05-26,118.47000122070312,52.05842208862305,38.502838134765625,80.9759750366211,63.23696517944336
2010-05-27,118.69000244140625,54.29124069213867,39.95756149291992,83.68856048583984,61.802249908447266
2010-05-28,118.87999725341797,53.59549331665039,39.72237777709961,82.63826751708984,62.08538055419922
2010-06-01,119.91000366210938,51.96942901611328,39.35649108886719,81.24797821044922,62.5217170715332
2010-06-02,119.77999877929688,53.44987869262695,40.28860092163086,83.36363220214844,61.927825927734375
2010-06-03,117.95999908447266,54.137516021728516,40.671875,83.65074157714844,61.4759635925293
2010-06-04,119.19000244140625,51.419315338134766,39.27811813354492,80.71153259277344,63.12855911254883
2010-06-07,121.48999786376953,50.092559814453125,38.56381607055664,79.70660400390625,63.612754821777344
2010-06-08,121.0,50.06831359863281,38.49413299560547,80.56039428710938,63.29639434814453
2010-06-09,120.55999755859375,50.10068130493164,38.17180633544922,80.12977600097656,63.22536849975586
2010-06-10,118.97000122070312,51.83190155029297,39.260677337646484,82.47205352783203,62.09568786621094
2010-06-11,120.01000213623047,52.53573226928711,39.63527297973633,82.87248229980469,62.88322448730469
2010-06-14,119.5999984741211,52.86739730834961,39.626564025878906,82.7440414428711,62.560482025146484
2010-06-15,120.98999786376953,54.19413757324219,40.689300537109375,84.62545013427734,62.30223846435547
2010-06-16,120.33000183105469,53.943355560302734,40.854820251464844,84.5952377319336,62.657318115234375
2010-06-17,121.9000015258789,54.00809097290039,40.9854850769043,84.73123168945312,63.16727066040039
2010-06-18,122.83000183105469,54.040443420410156,41.01951217651367,84.82310485839844,63.063995361328125
2010-06-21,120.38999938964844,53.48222351074219,40.67042541503906,84.58016967773438,62.88322448730469
2010-06-22,121.44999694824219,52.38200759887695,40.3562126159668,83.18325805664062,63.63208770751953
2010-06-23,120.94999694824219,52.236412048339844,40.190406799316406,82.92517852783203,64.06458282470703
2010-06-24,121.30000305175781,51.40314483642578,39.57948303222656,81.55104064941406,63.683712005615234
2010-06-25,122.76000213623047,52.28493118286133,39.587364196777344,81.89268493652344,63.941925048828125
2010-06-28,121.08999633789062,51.9856071472168,39.447410583496094,81.63455200195312,64.54232788085938
2010-06-29,121.2699966430664,50.019771575927734,37.925846099853516,79.11407470703125,65.24594116210938
2010-06-30,121.68000030517578,49.445396423339844,37.34868621826172,78.36248779296875,65.68495178222656
2010-07-01,117.04000091552734,49.08942413330078,37.2437629699707,78.01327514648438,65.78852844238281
2010-07-02,118.48999786376953,48.55292892456055,37.138816833496094,77.58811950683594,65.26402282714844
2010-07-06,116.51000213623047,47.91984176635742,37.252506256103516,78.09677124023438,65.80152130126953
2010-07-07,117.7300033569336,49.59183120727539,38.44178771972656,80.55653381347656,65.03093719482422
2010-07-08,117.20999908447266,50.306095123291016,38.65166473388672,81.3536376953125,64.61650848388672
2010-07-09,118.36000061035156,51.085269927978516,39.018943786621094,81.96102142333984,64.24742889404297
2010-07-12,117.33999633789062,50.509010314941406,39.13262176513672,82.0141372680664,64.22151184082031
2010-07-13,118.36000061035156,52.10795974731445,39.63982391357422,83.2516098022461,63.671138763427734
2010-07-14,118.30000305175781,51.921287536621094,39.840946197509766,83.24402618408203,64.3122329711914
2010-07-15,118.2300033569336,51.44240951538086,39.87591552734375,83.26679992675781,64.9532241821289
2010-07-16,116.66999816894531,49.567481994628906,38.77408218383789,80.97407531738281,65.27055358886719
2010-07-19,115.7300033569336,49.778533935546875,39.10638427734375,81.45235443115234,64.86905670166016
2010-07-20,116.6500015258789,50.61450958251953,39.57859802246094,82.35578918457031,64.96619415283203
2010-07-21,115.8499984741211,49.70549011230469,39.03642654418945,81.28531646728516,66.0669937133789
2010-07-22,116.86000061035156,51.47487258911133,40.02456283569336,83.0997543334961,65.30287170410156
2010-07-23,116.08999633789062,52.74106216430664,40.2781867980957,83.82098388671875,64.61000061035156
2010-07-26,115.5199966430664,53.942291259765625,40.610469818115234,84.69406127929688,64.49996948242188
