,MVO,HRP
2011-01-04,0.9969029820320588,0.9946731597263865
2011-02-03,0.9976292397859475,0.9969730151428562
2011-03-07,0.9925845644905045,0.9923081866467534
2011-04-05,0.9934296657334775,0.9947810701192493
2011-05-05,0.987183815301191,0.9851582680471724
2011-06-06,0.9806364486224061,0.9791846482502873
2011-07-06,0.98495960818594,0.9839003622956224
2011-08-04,0.9704489438952288,0.9651453819206848
2011-09-02,0.9744768418164129,0.9680746846440216
2011-10-04,0.9745266636743889,0.9681195793274141
2011-11-02,0.9776282178513209,0.9732286026324725
2011-12-02,0.9802054103288468,0.9742566402722846
2012-01-04,0.9759163440790111,0.9713001904010795
2012-02-03,0.9689268765396711,0.9636531447027289
2012-03-06,0.9651058274942498,0.9573159305022061
2012-04-04,0.9642014224833462,0.9541730513680454
2012-05-04,0.9610529029812798,0.9510357264437107
2012-06-05,0.9580539805633657,0.948861308774392
2012-07-05,0.9560902342468037,0.9450112577716147
2012-08-03,0.959528114045688,0.9508671101351612
2012-09-04,0.9606546217936991,0.952535303635022
2012-10-03,0.9631680394950757,0.9546654099961247
2012-11-05,0.965924733053661,0.9565119193923989
2012-12-05,0.9666361682277481,0.9571156391062878
2013-01-07,0.9645743669341678,0.9544231324123844
2013-02-06,0.9676691502201917,0.9569732368130881
2013-03-08,0.9657453250817813,0.9559277808496621
2013-04-09,0.9677048040863419,0.9584494952217875
2013-05-08,0.9720148035082061,0.9636759172235706
2013-06-07,0.9704270957723592,0.96178549918925
2013-07-09,0.9750700506617686,0.966941134568832
2013-08-07,0.9755101820009238,0.9663969741596565
2013-09-06,0.9788439033987894,0.9697007762469415
2013-10-07,0.9763626865114395,0.9667827604454725
2013-11-05,0.9709585952956049,0.962315133390989
2013-12-05,0.9657451784462053,0.9566396485136156
2014-01-07,0.9702839036631415,0.9613979993820817
2014-02-06,0.9758031262160994,0.9685276698296577
2014-03-10,0.9767747628296488,0.9692368881296008
2014-04-08,0.9805554562978361,0.9733839009687376
2014-05-08,0.9781949123773536,0.9704221640779036
2014-06-09,0.9781493605334984,0.9702959880811013
2014-07-09,0.981966962126895,0.9740144026020152
2014-08-07,0.9805959166407122,0.9720223950947497
2014-09-08,0.9767053346788793,0.9683979869168172
2014-10-07,0.9728785567469918,0.9643080941296259
2014-11-05,0.9721628378242512,0.9636809377155238
2014-12-05,0.9696467500601698,0.959782244240774
2015-01-07,0.9752044063515047,0.9636913006998203
2015-02-06,0.9652241892491452,0.9526972350821975
2015-03-10,0.9584810488142859,0.9475894956051636
2015-04-09,0.9565411362195059,0.9456835134326843
2015-05-08,0.9651827214414499,0.9539909915709872
2015-06-09,0.9644252935239259,0.9531168845844655
2015-07-09,0.9615697617430353,0.9501581054032301
2015-08-07,0.9634842580730391,0.9510896121488148
2015-09-08,0.9712201598929642,0.9592875688411537
2015-10-07,0.9744249735205015,0.9621235835784754
2015-11-05,0.9727623858828447,0.960292734245999
2015-12-07,0.9694253524955221,0.9549379561035535
2016-01-07,0.9626514511221445,0.9486413152029058
2016-02-08,0.9661572805196037,0.9521374493009713
2016-03-09,0.9648697289843037,0.9507390037000502
2016-04-08,0.9641542227162749,0.950165638125048
2016-05-09,0.9616198387364422,0.9458531178017151
2016-06-08,0.967726728338708,0.9519898610398247
2016-07-08,0.97747008721742,0.9615301746046252
2016-08-08,0.9774346832938056,0.9623284514004796
2016-09-07,0.9756474283919905,0.9607514549844853
2016-10-06,0.9725798713765713,0.9571318911759564
2016-11-04,0.9737994550542588,0.9588130011719341
2016-12-06,0.9755294404203084,0.9595276497269218
2017-01-06,0.973473330383206,0.9573405839141627
2017-02-07,0.9752539722984487,0.960637127361651
2017-03-09,0.9744706162553269,0.9597781106135913
2017-04-07,0.9736997919446423,0.9598437014565979
2017-05-09,0.9712629718076734,0.9574596859788862
2017-06-08,0.9697937356672942,0.9542244651727113
2017-07-10,0.9700365965406096,0.9536478810542208
2017-08-08,0.9679723819151217,0.9518505396712611
2017-09-07,0.9711496629336368,0.9565039486068122
2017-10-06,0.969266722113862,0.9532876933251848
2017-11-06,0.9717167193302759,0.9534766205884714
2017-12-06,0.971734740481249,0.9549991879161164
2018-01-08,0.9723858975785982,0.9556522739612484
2018-02-07,0.9661000657965516,0.9489274369677483
2018-03-09,0.9732761063112568,0.9538478458697647
2018-04-10,0.9810719992877603,0.9603984907522191
2018-05-09,0.9838615707456421,0.9616400561575646
2018-06-08,0.9854766917669342,0.9626100304454508
2018-07-10,0.9872972629674993,0.9639703480670613
2018-08-08,0.9872666360632042,0.9641550998210472
2018-09-07,0.9837642413775124,0.9606838987688676
2018-10-08,0.9821017158825981,0.9587712765654497
2018-11-06,0.9836181144043046,0.9600338888490677
2018-12-07,0.9788914215599528,0.9563881340497651
2019-01-09,0.9806524915694276,0.9577566994441289
2019-02-08,0.9830967380037278,0.9607572097125193
2019-03-12,0.9881880885782415,0.9657631848873232
2019-04-10,0.9909172932589405,0.968458993740032
2019-05-10,0.994056846029112,0.9712526786075506
2019-06-11,0.9944518464932607,0.9716895418456695
2019-07-11,0.9896488887588047,0.9650775223694616
2019-08-09,0.9860883208827882,0.9617582502495513
2019-09-10,0.979274489068102,0.952296161527455
2019-10-09,0.9815989295656822,0.9534459712964756
2019-11-07,0.974804127745892,0.9439629513803879
2019-12-09,0.9741870082685892,0.9439544976904881
2020-01-09,0.9776296920875076,0.9471100568129284
2020-02-10,0.9807987415355808,0.9505443721892457
2020-03-11,0.9468757442574002,0.9240776049506523
2020-04-09,0.9586963036319993,0.9371397120059118
2020-05-11,0.9565775576673163,0.9335880732122748
2020-06-10,0.9649346698934916,0.9386654633929393
2020-07-10,0.9652915131354227,0.9421998889241923
2020-08-10,0.9623847132837323,0.9416798531215766
2020-09-09,0.9691055822075264,0.9508771840555094
2020-10-08,0.9736317353956612,0.9564356953143187
2020-11-06,0.9699685461533765,0.9543876392239153
2020-12-08,0.974296111290904,0.9587807011638847
2021-01-08,0.9661903150965343,0.9497038949613903
2021-02-09,0.967521506086238,0.9505238792427517
2021-03-11,0.9636560745856109,0.9513039257548153
2021-04-12,0.9637618565198025,0.9499199847829094
2021-05-11,0.9565257346279082,0.9450753288723959
2021-06-10,0.9611313165125249,0.9503424968323816
2021-07-12,0.9618866387020748,0.9505057022781809
2021-08-10,0.9632017106680544,0.9513064112371917
2021-09-09,0.9652187012210051,0.9520260248570104
2021-10-08,0.963755999599418,0.9506829608607621
2021-11-08,0.964660701039476,0.9516593037016567
2021-12-08,0.9605421291894252,0.9489915587828882
2022-01-07,0.9603923457512571,0.9489434874004057
2022-02-08,0.9621498978349436,0.9507625309988953
2022-03-10,0.9576878356419501,0.9472415790580054
2022-04-08,0.9600487567839825,0.949315871713524
2022-05-10,0.9594158698658656,0.9500342538718057
2022-06-09,0.9493278766819634,0.9407212052512651
2022-07-12,0.9458065972863717,0.9367204369955449
2022-08-10,0.9493173669257182,0.9398012770431038
2022-09-09,0.9563652785927425,0.9470431580651993
2022-10-10,0.9469564966364191,0.9386368379008097
2022-11-08,0.9576857621641173,0.9474246871318994
2022-12-08,0.959084887326253,0.9505190851715964
2023-01-10,0.9581415406163357,0.9507247100574567
2023-02-09,0.95030543344697,0.9426483999853875
2023-03-13,0.9555217639226051,0.9439547421437209
2023-04-12,0.9559602223294973,0.943938490633284
2023-05-11,0.9553152933954473,0.9417933662071444
2023-06-12,0.9548856830701773,0.9426519635808858
2023-07-13,0.9578221547342209,0.9458794900022923
2023-08-11,0.9601400468556051,0.9475118918421186
2023-09-12,0.9601572431553601,0.9468912690637733
2023-10-11,0.9624624614846303,0.9500917618505518
2023-11-09,0.9545783618290383,0.9430496553363199
2023-12-11,0.9559836115480655,0.9439633499420411
2024-01-11,0.9573708923125883,0.945452304694282
2024-02-12,0.9589325111987852,0.9461770506455183
2024-03-13,0.9605003817213454,0.9471070466198132
2024-04-12,0.9495384014154155,0.9363879529831495
2024-05-13,0.9469441218730846,0.9329639213853184
2024-06-12,0.9471116021497041,0.9322975515569559
2024-07-15,0.9482690608063475,0.9340142657033939
2024-08-13,0.9544065522002633,0.9393068658702526
2024-09-12,0.9601321138310384,0.9449516611838501
2024-10-11,0.9662533725202105,0.9520583815065713
2024-11-11,0.9623551460211615,0.9472326554647286
2024-12-11,0.960125517475684,0.9445258458631601
