,MVO,HRP,HRP_Predictive
2019-01-03,0.9995606706256832,1.0005986831873628,1.0005986831873628
2019-02-04,0.9984321392920555,0.9996291063058592,0.9996291063058592
2019-03-06,0.9961556755283717,0.9991441966115748,0.9991441966115748
2019-04-04,0.9991918058899025,1.0019585049717996,1.0019585049717996
2019-05-06,0.9993679791716202,1.0028372209888756,1.0028372209888756
2019-06-05,1.0012455779433918,1.004902616421085,1.004902616421085
2019-07-05,0.9938807937218039,0.9956300376666455,0.9956300376666455
2019-08-05,0.9879185571587328,0.9953071783641955,0.9953071783641955
2019-09-04,0.9939949103444949,1.0008515509977427,1.0006116097743132
2019-10-03,1.0011768583226712,1.0081738134074036,1.007932116766201
2019-11-01,1.0048389607330543,1.0108585056354085,1.0106161653739436
2019-12-03,1.0084044951276494,1.0180416615555827,1.0177975992253276
2020-01-03,1.0113356941806568,1.0221758375191101,1.0219307840736018
2020-02-04,1.0124905263935624,1.0230247555176568,1.0215925683088567
2020-03-05,1.0069175257091996,1.0250699834090407,1.0236349329760523
2020-04-03,1.0072385304077955,1.0252517827339187,1.0229195600724335
2020-05-05,1.0105410594353055,1.0279403455519576,1.0253433360022743
2020-06-04,1.0057442704975545,1.0273825301109454,1.0233382386571672
2020-07-06,1.0117201782060063,1.0310579030577323,1.0269991434979056
2020-08-04,1.020811099939235,1.0428199928839426,1.0387149318560953
2020-09-02,1.0292643774710706,1.0511585377632915,1.0470206520525203
2020-10-02,1.0246507710673651,1.0465698766239466,1.0424500541783042
2020-11-02,1.0369325692385098,1.058778332885757,1.0546104518505666
2020-12-02,1.0364634452933732,1.058554197275731,1.0543871985503965
2021-01-04,1.0358445417369704,1.0600155902580062,1.0558428387590204
2021-02-03,1.0325075348615411,1.0574786983860547,1.053315933362229
2021-03-05,1.0430869954767776,1.0681705146781741,1.0639656613182242
2021-04-06,1.0473646905113778,1.0726482326792417,1.0684257527818402
2021-05-05,1.0499999133779876,1.0748652458387178,1.0706340386687463
2021-06-04,1.0589612933388588,1.0851623136928703,1.080890572114048
2021-07-06,1.0597239297518555,1.086114944164669,1.0818394525558794
2021-08-04,1.0553977860768258,1.0819650903444191,1.077705934635694
2021-09-02,1.059742534813872,1.0862092105536478,1.081933347865207
2021-10-04,1.0552024035372916,1.0815944092254859,1.0773367127030302
2021-11-02,1.058860035415982,1.0851573032844237,1.080885581429075
2021-12-02,1.0669269875330938,1.0916506488384463,1.0872438193566458
2022-01-03,1.0581309271070165,1.0824463603928325,1.078076687239134
2022-02-02,1.0658257495728163,1.0901692694353642,1.085787801716417
2022-03-04,1.0727736777425954,1.0986781050428278,1.094262439709267
2022-04-04,1.0704850243855677,1.0969328619033822,1.092524210825948
2022-05-04,1.089550049340657,1.1157346820413119,1.1108029760797655
2022-06-03,1.0807761095138104,1.106850740374048,1.1019583026980426
2022-07-06,1.0719847337895516,1.0968984086772346,1.092049961722635
2022-08-04,1.071710499607854,1.0989093396387717,1.0940520040833506
2022-09-02,1.0712470005267591,1.100000350748635,1.0951381927689572
2022-10-04,1.0879960274828884,1.118013480485785,1.1130717019110496
2022-11-02,1.076054038649205,1.102984872091647,1.0981095221032091
2022-12-02,1.0787261334541796,1.1054589076580017,1.1007947628239276
2023-01-04,1.0880489715351715,1.1135091007454276,1.1088109905904882
2023-02-03,1.0747959563610239,1.1014381743504542,1.0967909937674758
2023-03-07,1.0628108154388678,1.0878222861237907,1.0832325536054068
2023-04-05,1.070923318081765,1.093927878271539,1.0893123850795763
2023-05-05,1.072220757820327,1.0942792148661507,1.0896622393171764
2023-06-06,1.0730709247911874,1.095444135016584,1.0908222444442977
2023-07-07,1.0704917084334238,1.095075632183909,1.0904552963963112
2023-08-07,1.0732134028536027,1.0968001501606264,1.092172538298308
2023-09-06,1.0712416971553405,1.0940868665122987,1.0894707025182133
2023-10-05,1.0665828178717311,1.0897682337051324,1.08500597569755
2023-11-03,1.070734354250881,1.0937492410531444,1.088969586150025
2023-12-05,1.0696364153402285,1.0920233215346673,1.0886312199863315
